County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
30 - Orange,8/28/2014,In Construction,$122080160.00,147,Greater Los Angeles Counties
30 - Orange,8/28/2014,In Closure,$274460703.00,256,Greater Los Angeles Counties
31 - Placer,8/28/2014,In Review,$8435727.00,17,Greater Sacramento Counties
31 - Placer,8/28/2014,Pending Construction,$2272945.00,15,Greater Sacramento Counties
31 - Placer,8/28/2014,In Construction,$22019161.00,21,Greater Sacramento Counties
31 - Placer,8/28/2014,In Closure,$92816155.00,6,Greater Sacramento Counties
34 - Sacramento,8/28/2014,In Review,$41013660.00,49,Greater Sacramento Counties
34 - Sacramento,8/28/2014,Pending Construction,$98179347.00,52,Greater Sacramento Counties
34 - Sacramento,8/28/2014,In Construction,$303198666.00,125,Greater Sacramento Counties
34 - Sacramento,8/28/2014,In Closure,$77819328.00,52,Greater Sacramento Counties
38 - San Francisco,8/28/2014,In Review,$1013129996.00,77,Bay Area Counties
38 - San Francisco,8/28/2014,Pending Construction,$130518023.00,69,Bay Area Counties
38 - San Francisco,8/28/2014,In Construction,$1384563539.00,110,Bay Area Counties
38 - San Francisco,8/28/2014,In Closure,$684196054.00,64,Bay Area Counties
41 - San Mateo,8/28/2014,In Review,$80962238.00,30,Bay Area Counties
41 - San Mateo,8/28/2014,Pending Construction,$18042721.00,22,Bay Area Counties
41 - San Mateo,8/28/2014,In Construction,$218190842.00,55,Bay Area Counties
41 - San Mateo,8/28/2014,In Closure,$181754116.00,34,Bay Area Counties
43 - Santa Clara,8/28/2014,In Review,$373755403.00,85,Bay Area Counties
43 - Santa Clara,8/28/2014,Pending Construction,$9914043.00,61,Bay Area Counties
43 - Santa Clara,8/28/2014,In Construction,$1534559059.00,132,Bay Area Counties
43 - Santa Clara,8/28/2014,In Closure,$132548629.00,63,Bay Area Counties
48 - Solano,8/28/2014,In Review,$63629090.00,14,Bay Area Counties
48 - Solano,8/28/2014,Pending Construction,$8746520.00,11,Bay Area Counties
48 - Solano,8/28/2014,In Construction,$40127138.00,24,Bay Area Counties
48 - Solano,8/28/2014,In Closure,$34949296.00,19,Bay Area Counties
49 - Sonoma,8/28/2014,In Review,$2254203.00,14,Bay Area Counties
49 - Sonoma,8/28/2014,Pending Construction,$1015166.00,10,Bay Area Counties
49 - Sonoma,8/28/2014,In Construction,$111123723.00,46,Bay Area Counties
49 - Sonoma,8/28/2014,In Closure,$71107495.00,19,Bay Area Counties
56 - Ventura,8/28/2014,In Review,$40848977.00,40,Greater Los Angeles Counties
56 - Ventura,8/28/2014,Pending Construction,$16979056.00,42,Greater Los Angeles Counties
56 - Ventura,8/28/2014,In Construction,$394909363.00,81,Greater Los Angeles Counties
56 - Ventura,8/28/2014,In Closure,$42018000.00,55,Greater Los Angeles Counties
57 - Yolo,8/28/2014,In Review,$444133.00,5,Greater Sacramento Counties
57 - Yolo,8/28/2014,Pending Construction,$2439041.00,5,Greater Sacramento Counties
57 - Yolo,8/28/2014,In Construction,$2261666.00,11,Greater Sacramento Counties
57 - Yolo,8/28/2014,In Closure,$940592.00,2,Greater Sacramento Counties
01 - Alameda,9/12/2014,In Review,$43085167.00,44,Bay Area Counties
01 - Alameda,9/12/2014,Pending Construction,$288408997.00,121,Bay Area Counties
01 - Alameda,9/12/2014,In Construction,$1139302862.00,187,Bay Area Counties
01 - Alameda,9/12/2014,In Closure,$534339201.00,75,Bay Area Counties
07 - Contra Costa,9/12/2014,In Review,$14561535.00,33,Bay Area Counties
07 - Contra Costa,9/12/2014,Pending Construction,$23830775.00,52,Bay Area Counties
07 - Contra Costa,9/12/2014,In Construction,$18487810.00,48,Bay Area Counties
07 - Contra Costa,9/12/2014,In Closure,$38428897.00,20,Bay Area Counties
09 - El Dorado,9/12/2014,In Review,$11893504.00,8,Greater Sacramento Counties
09 - El Dorado,9/12/2014,Pending Construction,$3438942.00,2,Greater Sacramento Counties
09 - El Dorado,9/12/2014,In Construction,$15456912.00,10,Greater Sacramento Counties
09 - El Dorado,9/12/2014,In Closure,$22363962.00,2,Greater Sacramento Counties
19 - Los Angeles,9/12/2014,In Review,$463164971.00,461,Greater Los Angeles Counties
19 - Los Angeles,9/12/2014,Pending Construction,$297443345.00,529,Greater Los Angeles Counties
19 - Los Angeles,9/12/2014,In Construction,$1697632011.00,847,Greater Los Angeles Counties
19 - Los Angeles,9/12/2014,In Closure,$761010479.00,702,Greater Los Angeles Counties
21 - Marin,9/12/2014,In Review,$213257158.00,22,Bay Area Counties
21 - Marin,9/12/2014,Pending Construction,$834958.00,12,Bay Area Counties
21 - Marin,9/12/2014,In Construction,$27057034.00,15,Bay Area Counties
21 - Marin,9/12/2014,In Closure,$1544528.00,9,Bay Area Counties
28 - Napa,9/12/2014,In Review,$1898058.00,16,Bay Area Counties
28 - Napa,9/12/2014,Pending Construction,$0.00,0,Bay Area Counties
28 - Napa,9/12/2014,In Construction,$35469352.00,17,Bay Area Counties
28 - Napa,9/12/2014,In Closure,$49125912.00,12,Bay Area Counties
30 - Orange,9/12/2014,In Review,$41221684.00,72,Greater Los Angeles Counties
30 - Orange,9/12/2014,Pending Construction,$11008836.00,59,Greater Los Angeles Counties
30 - Orange,9/12/2014,In Construction,$126936120.00,154,Greater Los Angeles Counties
30 - Orange,9/12/2014,In Closure,$251810916.00,242,Greater Los Angeles Counties
31 - Placer,9/12/2014,In Review,$8521187.00,21,Greater Sacramento Counties
31 - Placer,9/12/2014,Pending Construction,$2213311.00,15,Greater Sacramento Counties
31 - Placer,9/12/2014,In Construction,$22083170.00,22,Greater Sacramento Counties
31 - Placer,9/12/2014,In Closure,$93414503.00,7,Greater Sacramento Counties
34 - Sacramento,9/12/2014,In Review,$41166769.00,47,Greater Sacramento Counties
34 - Sacramento,9/12/2014,Pending Construction,$98872190.00,54,Greater Sacramento Counties
34 - Sacramento,9/12/2014,In Construction,$302496935.00,123,Greater Sacramento Counties
34 - Sacramento,9/12/2014,In Closure,$79118429.00,56,Greater Sacramento Counties
38 - San Francisco,9/12/2014,In Review,$1005567184.00,62,Bay Area Counties
38 - San Francisco,9/12/2014,Pending Construction,$132037120.00,77,Bay Area Counties
38 - San Francisco,9/12/2014,In Construction,$1384509063.00,108,Bay Area Counties
38 - San Francisco,9/12/2014,In Closure,$682764608.00,61,Bay Area Counties
41 - San Mateo,9/12/2014,In Review,$79974424.00,27,Bay Area Counties
41 - San Mateo,9/12/2014,Pending Construction,$17737051.00,19,Bay Area Counties
41 - San Mateo,9/12/2014,In Construction,$218554012.00,58,Bay Area Counties
41 - San Mateo,9/12/2014,In Closure,$181904217.00,34,Bay Area Counties
43 - Santa Clara,9/12/2014,In Review,$372076383.00,75,Bay Area Counties
43 - Santa Clara,9/12/2014,Pending Construction,$10101045.00,68,Bay Area Counties
43 - Santa Clara,9/12/2014,In Construction,$1534515549.00,132,Bay Area Counties
43 - Santa Clara,9/12/2014,In Closure,$134699551.00,64,Bay Area Counties
48 - Solano,9/12/2014,In Review,$63617603.00,15,Bay Area Counties
48 - Solano,9/12/2014,Pending Construction,$8794520.00,11,Bay Area Counties
48 - Solano,9/12/2014,In Construction,$40101178.00,23,Bay Area Counties
48 - Solano,9/12/2014,In Closure,$35030378.00,20,Bay Area Counties
49 - Sonoma,9/12/2014,In Review,$2592103.00,17,Bay Area Counties
49 - Sonoma,9/12/2014,Pending Construction,$478166.00,8,Bay Area Counties
49 - Sonoma,9/12/2014,In Construction,$81734657.00,47,Bay Area Counties
49 - Sonoma,9/12/2014,In Closure,$101057095.00,20,Bay Area Counties
56 - Ventura,9/12/2014,In Review,$41023977.00,42,Greater Los Angeles Counties
56 - Ventura,9/12/2014,Pending Construction,$17189056.00,43,Greater Los Angeles Counties
56 - Ventura,9/12/2014,In Construction,$394776548.00,80,Greater Los Angeles Counties
56 - Ventura,9/12/2014,In Closure,$42021520.00,54,Greater Los Angeles Counties
57 - Yolo,9/12/2014,In Review,$298193.00,5,Greater Sacramento Counties
57 - Yolo,9/12/2014,Pending Construction,$2439041.00,5,Greater Sacramento Counties
57 - Yolo,9/12/2014,In Construction,$2066666.00,10,Greater Sacramento Counties
57 - Yolo,9/12/2014,In Closure,$1545155.00,4,Greater Sacramento Counties
01 - Alameda,9/24/2014,In Review,$43454119.00,45,Bay Area Counties
01 - Alameda,9/24/2014,Pending Construction,$289641180.00,125,Bay Area Counties
01 - Alameda,9/24/2014,In Construction,$1102312025.00,186,Bay Area Counties
01 - Alameda,9/24/2014,In Closure,$513809113.00,69,Bay Area Counties
07 - Contra Costa,9/24/2014,In Review,$14535444.00,31,Bay Area Counties
07 - Contra Costa,9/24/2014,Pending Construction,$21281460.00,51,Bay Area Counties
07 - Contra Costa,9/24/2014,In Construction,$20943701.00,47,Bay Area Counties
07 - Contra Costa,9/24/2014,In Closure,$37828771.00,22,Bay Area Counties
09 - El Dorado,9/24/2014,In Review,$11893504.00,8,Greater Sacramento Counties
09 - El Dorado,9/24/2014,Pending Construction,$3438942.00,2,Greater Sacramento Counties
09 - El Dorado,9/24/2014,In Construction,$15456912.00,10,Greater Sacramento Counties
09 - El Dorado,9/24/2014,In Closure,$22363962.00,2,Greater Sacramento Counties
19 - Los Angeles,9/24/2014,In Review,$479472919.00,475,Greater Los Angeles Counties
19 - Los Angeles,9/24/2014,Pending Construction,$294500700.00,525,Greater Los Angeles Counties
19 - Los Angeles,9/24/2014,In Construction,$1623924316.00,854,Greater Los Angeles Counties
19 - Los Angeles,9/24/2014,In Closure,$820262903.00,680,Greater Los Angeles Counties
21 - Marin,9/24/2014,In Review,$213535763.00,23,Bay Area Counties
21 - Marin,9/24/2014,Pending Construction,$826995.00,10,Bay Area Counties
21 - Marin,9/24/2014,In Construction,$27223866.00,15,Bay Area Counties
21 - Marin,9/24/2014,In Closure,$1581161.00,10,Bay Area Counties
28 - Napa,9/24/2014,In Review,$1766892.00,13,Bay Area Counties
28 - Napa,9/24/2014,Pending Construction,$131166.00,3,Bay Area Counties
28 - Napa,9/24/2014,In Construction,$35257480.00,16,Bay Area Counties
28 - Napa,9/24/2014,In Closure,$49336784.00,13,Bay Area Counties
30 - Orange,9/24/2014,In Review,$41432002.00,70,Greater Los Angeles Counties
30 - Orange,9/24/2014,Pending Construction,$11801659.00,62,Greater Los Angeles Counties
30 - Orange,9/24/2014,In Construction,$127172950.00,157,Greater Los Angeles Counties
30 - Orange,9/24/2014,In Closure,$241942391.00,240,Greater Los Angeles Counties
31 - Placer,9/24/2014,In Review,$8805179.00,22,Greater Sacramento Counties
31 - Placer,9/24/2014,Pending Construction,$2547017.00,15,Greater Sacramento Counties
31 - Placer,9/24/2014,In Construction,$22501234.00,24,Greater Sacramento Counties
31 - Placer,9/24/2014,In Closure,$93069249.00,6,Greater Sacramento Counties
34 - Sacramento,9/24/2014,In Review,$39735477.00,48,Greater Sacramento Counties
34 - Sacramento,9/24/2014,Pending Construction,$102454601.00,53,Greater Sacramento Counties
34 - Sacramento,9/24/2014,In Construction,$304209924.00,126,Greater Sacramento Counties
34 - Sacramento,9/24/2014,In Closure,$79317655.00,55,Greater Sacramento Counties
38 - San Francisco,9/24/2014,In Review,$1006778434.00,66,Bay Area Counties
38 - San Francisco,9/24/2014,Pending Construction,$132197620.00,77,Bay Area Counties
38 - San Francisco,9/24/2014,In Construction,$1383082006.00,100,Bay Area Counties
38 - San Francisco,9/24/2014,In Closure,$684182108.00,70,Bay Area Counties
41 - San Mateo,9/24/2014,In Review,$80084424.00,27,Bay Area Counties
41 - San Mateo,9/24/2014,Pending Construction,$17772051.00,20,Bay Area Counties
41 - San Mateo,9/24/2014,In Construction,$218620863.00,56,Bay Area Counties
41 - San Mateo,9/24/2014,In Closure,$181838949.00,34,Bay Area Counties
43 - Santa Clara,9/24/2014,In Review,$370904574.00,73,Bay Area Counties
43 - Santa Clara,9/24/2014,Pending Construction,$11135430.00,65,Bay Area Counties
43 - Santa Clara,9/24/2014,In Construction,$1530629346.00,133,Bay Area Counties
43 - Santa Clara,9/24/2014,In Closure,$140297918.00,68,Bay Area Counties
48 - Solano,9/24/2014,In Review,$63647603.00,16,Bay Area Counties
48 - Solano,9/24/2014,Pending Construction,$8859520.00,11,Bay Area Counties
48 - Solano,9/24/2014,In Construction,$40101441.00,23,Bay Area Counties
48 - Solano,9/24/2014,In Closure,$24577854.00,20,Bay Area Counties
49 - Sonoma,9/24/2014,In Review,$2917848.00,19,Bay Area Counties
49 - Sonoma,9/24/2014,Pending Construction,$378166.00,7,Bay Area Counties
49 - Sonoma,9/24/2014,In Construction,$51451265.00,46,Bay Area Counties
49 - Sonoma,9/24/2014,In Closure,$131490947.00,22,Bay Area Counties
56 - Ventura,9/24/2014,In Review,$41248977.00,43,Greater Los Angeles Counties
56 - Ventura,9/24/2014,Pending Construction,$17364056.00,45,Greater Los Angeles Counties
56 - Ventura,9/24/2014,In Construction,$394957439.00,80,Greater Los Angeles Counties
56 - Ventura,9/24/2014,In Closure,$40625632.00,45,Greater Los Angeles Counties
57 - Yolo,9/24/2014,In Review,$298193.00,5,Greater Sacramento Counties
57 - Yolo,9/24/2014,Pending Construction,$2664041.00,6,Greater Sacramento Counties
57 - Yolo,9/24/2014,In Construction,$2066666.00,10,Greater Sacramento Counties
57 - Yolo,9/24/2014,In Closure,$1320155.00,3,Greater Sacramento Counties
01 - Alameda,10/8/2014,In Review,$46210219.00,48,Bay Area Counties
01 - Alameda,10/8/2014,Pending Construction,$288548397.00,124,Bay Area Counties
01 - Alameda,10/8/2014,In Construction,$1104558719.00,188,Bay Area Counties
01 - Alameda,10/8/2014,In Closure,$500184113.00,68,Bay Area Counties
07 - Contra Costa,10/8/2014,In Review,$13275963.00,29,Bay Area Counties
07 - Contra Costa,10/8/2014,Pending Construction,$22767218.00,54,Bay Area Counties
07 - Contra Costa,10/8/2014,In Construction,$21063475.00,47,Bay Area Counties
07 - Contra Costa,10/8/2014,In Closure,$37517974.00,20,Bay Area Counties
09 - El Dorado,10/8/2014,In Review,$11896234.00,8,Greater Sacramento Counties
09 - El Dorado,10/8/2014,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,10/8/2014,In Construction,$18886084.00,11,Greater Sacramento Counties
09 - El Dorado,10/8/2014,In Closure,$22363962.00,2,Greater Sacramento Counties
19 - Los Angeles,10/8/2014,In Review,$491594996.00,482,Greater Los Angeles Counties
19 - Los Angeles,10/8/2014,Pending Construction,$287771303.00,518,Greater Los Angeles Counties
19 - Los Angeles,10/8/2014,In Construction,$1291362987.00,852,Greater Los Angeles Counties
19 - Los Angeles,10/8/2014,In Closure,$1158231173.00,690,Greater Los Angeles Counties
21 - Marin,10/8/2014,In Review,$213535763.00,23,Bay Area Counties
21 - Marin,10/8/2014,Pending Construction,$788995.00,9,Bay Area Counties
21 - Marin,10/8/2014,In Construction,$27289866.00,16,Bay Area Counties
21 - Marin,10/8/2014,In Closure,$1581161.00,10,Bay Area Counties
28 - Napa,10/8/2014,In Review,$1855867.00,14,Bay Area Counties
28 - Napa,10/8/2014,Pending Construction,$145000.00,3,Bay Area Counties
28 - Napa,10/8/2014,In Construction,$35279812.00,17,Bay Area Counties
28 - Napa,10/8/2014,In Closure,$49336784.00,13,Bay Area Counties
30 - Orange,10/8/2014,In Review,$43677434.00,79,Greater Los Angeles Counties
30 - Orange,10/8/2014,Pending Construction,$12208740.00,61,Greater Los Angeles Counties
30 - Orange,10/8/2014,In Construction,$120891900.00,155,Greater Los Angeles Counties
30 - Orange,10/8/2014,In Closure,$147379867.00,237,Greater Los Angeles Counties
31 - Placer,10/8/2014,In Review,$8836016.00,22,Greater Sacramento Counties
31 - Placer,10/8/2014,Pending Construction,$1773332.00,10,Greater Sacramento Counties
31 - Placer,10/8/2014,In Construction,$23696745.00,28,Greater Sacramento Counties
31 - Placer,10/8/2014,In Closure,$93619743.00,9,Greater Sacramento Counties
34 - Sacramento,10/8/2014,In Review,$39501676.00,49,Greater Sacramento Counties
34 - Sacramento,10/8/2014,Pending Construction,$101597726.00,48,Greater Sacramento Counties
34 - Sacramento,10/8/2014,In Construction,$301296956.00,128,Greater Sacramento Counties
34 - Sacramento,10/8/2014,In Closure,$79867469.00,60,Greater Sacramento Counties
38 - San Francisco,10/8/2014,In Review,$1005820934.00,63,Bay Area Counties
38 - San Francisco,10/8/2014,Pending Construction,$61878089.00,72,Bay Area Counties
38 - San Francisco,10/8/2014,In Construction,$1449601169.00,104,Bay Area Counties
38 - San Francisco,10/8/2014,In Closure,$689526332.00,67,Bay Area Counties
41 - San Mateo,10/8/2014,In Review,$78045574.00,27,Bay Area Counties
41 - San Mateo,10/8/2014,Pending Construction,$20005051.00,21,Bay Area Counties
41 - San Mateo,10/8/2014,In Construction,$196801838.00,53,Bay Area Counties
41 - San Mateo,10/8/2014,In Closure,$203715884.00,38,Bay Area Counties
43 - Santa Clara,10/8/2014,In Review,$451078541.00,75,Bay Area Counties
43 - Santa Clara,10/8/2014,Pending Construction,$14416811.00,66,Bay Area Counties
43 - Santa Clara,10/8/2014,In Construction,$1532469069.00,131,Bay Area Counties
43 - Santa Clara,10/8/2014,In Closure,$139630070.00,69,Bay Area Counties
48 - Solano,10/8/2014,In Review,$64201509.00,16,Bay Area Counties
48 - Solano,10/8/2014,Pending Construction,$8585520.00,11,Bay Area Counties
48 - Solano,10/8/2014,In Construction,$39902146.00,23,Bay Area Counties
48 - Solano,10/8/2014,In Closure,$25077149.00,21,Bay Area Counties
49 - Sonoma,10/8/2014,In Review,$3097448.00,23,Bay Area Counties
49 - Sonoma,10/8/2014,Pending Construction,$378200.00,7,Bay Area Counties
49 - Sonoma,10/8/2014,In Construction,$62564506.00,44,Bay Area Counties
49 - Sonoma,10/8/2014,In Closure,$131624957.00,25,Bay Area Counties
56 - Ventura,10/8/2014,In Review,$84204703.00,47,Greater Los Angeles Counties
56 - Ventura,10/8/2014,Pending Construction,$17399568.00,44,Greater Los Angeles Counties
56 - Ventura,10/8/2014,In Construction,$395198836.00,83,Greater Los Angeles Counties
56 - Ventura,10/8/2014,In Closure,$40494258.00,39,Greater Los Angeles Counties
57 - Yolo,10/8/2014,In Review,$111060.00,5,Greater Sacramento Counties
57 - Yolo,10/8/2014,Pending Construction,$2243174.00,5,Greater Sacramento Counties
57 - Yolo,10/8/2014,In Construction,$2551101.00,11,Greater Sacramento Counties
57 - Yolo,10/8/2014,In Closure,$1387055.00,4,Greater Sacramento Counties
01 - Alameda,10/23/2014,In Review,$43085167.00,44,Bay Area Counties
01 - Alameda,10/23/2014,Pending Construction,$288408997.00,121,Bay Area Counties
01 - Alameda,10/23/2014,In Construction,$1139302862.00,187,Bay Area Counties
01 - Alameda,10/23/2014,In Closure,$534339201.00,75,Bay Area Counties
07 - Contra Costa,10/23/2014,In Review,$14561535.00,33,Bay Area Counties
07 - Contra Costa,10/23/2014,Pending Construction,$23830775.00,52,Bay Area Counties
07 - Contra Costa,10/23/2014,In Construction,$18487810.00,48,Bay Area Counties
07 - Contra Costa,10/23/2014,In Closure,$38428897.00,20,Bay Area Counties
09 - El Dorado,10/23/2014,In Review,$11893504.00,8,Greater Sacramento Counties
